country_code,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018
BRN,32663.39237,37934.67645,27956.00514,35270.64214,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626
BTN,1757.190496,1828.154677,1819.19731,2258.186435,2563.261224,2538.949519,2472.724753,2652.225654,2752.630172,2930.574923,3286.596744,3243.477437
BWA,5832.737052,5713.543931,5255.776533,6434.812485,7617.310041,7050.573472,7224.912737,7780.634758,6799.870178,7243.933974,7893.418671,8279.818457
CAF,404.3745429,464.5612047,474.7056275,488.4217731,551.7496918,565.8011645,380.2978928,424.449106,377.422919,402.1916349,450.900697,475.9538495
CAN,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.35644,46454.74339
CEB,12012.39222,14585.41472,12304.55566,12608.38287,13907.67182,13014.50581,13712.8087,14153.74762,12513.20184,12822.37622,14238.19677,16034.71497
CHE,65359.51922,74572.23237,72083.1677,77117.12601,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86429.50082
CHI,74458.79467,,,,,,,,,,,
CHL,10502.35071,10751.4816,10208.90797,12808.03834,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436
CHN,2693.970063,3468.304602,3832.236432,4550.453108,5618.132267,6316.918318,7050.646271,7678.599486,8066.942635,8147.937705,8879.438667,9976.677137
CIV,1062.556918,1240.614893,1215.166785,1213.113,1208.583199,1243.273487,1415.871694,1561.464413,1972.545683,2013.381448,2111.026557,2314.050958
CMR,1195.649211,1377.298635,1319.99742,1286.515888,1405.094123,1354.54555,1465.63871,1542.620606,1327.502561,1364.32954,1425.106368,1534.492241
COD,286.3304725,327.5637218,298.6196916,334.0215777,387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,557.0644117
COG,2262.85441,2892.416962,2336.160957,3073.557784,3557.55617,3923.093509,3883.746848,3776.485568,2447.539308,2039.453223,2173.680253,2601.410483
COL,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332
COM,1240.092528,1393.216032,1344.730406,1316.491225,1447.94527,1403.360421,1505.33722,1513.83039,1242.585682,1273.05092,1323.814958,1415.955164
CPV,3186.779935,3721.219993,3517.430156,3378.323433,3740.374103,3447.4831,3616.03557,3588.625584,3043.031382,3130.998753,3292.633503,3617.347445
CRI,6103.741917,6901.388306,6801.036735,8227.127494,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12468.57529
