country_code,urb2008,urb2009,urb2010,urb2011,urb2012,urb2013,urb2014,urb2015,urb2016,urb2017
GAB,84.359,84.955,85.533,86.092,86.634,87.156,87.651,88.118,88.559,88.976
GBR,80.757,81.031,81.302,81.57,81.837,82.102,82.365,82.626,82.886,83.143
GEO,54.765,55.15,55.535,55.919,56.303,56.685,57.067,57.448,57.837,58.231
GHA,49.351,50.031,50.713,51.394,52.073,52.748,53.419,54.086,54.749,55.407
GIB,100,100,100,100,100,100,100,100,100,100
GIN,33.106,33.391,33.678,33.966,34.255,34.545,34.836,35.141,35.46,35.793
GMB,54.211,54.937,55.662,56.384,57.105,57.82,58.528,59.228,59.918,60.599
GNB,39.325,39.716,40.111,40.508,40.908,41.31,41.715,42.123,42.533,42.945
GNQ,62.745,64.358,65.94,67.488,69,69.544,70.083,70.616,71.138,71.646
GRC,75.568,75.932,76.292,76.649,77.004,77.355,77.702,78.046,78.387,78.724
GRD,35.877,35.871,35.865,35.859,35.869,35.896,35.938,35.997,36.072,36.164
GRL,83.787,84.087,84.383,84.755,85.2,85.551,85.813,86.071,86.326,86.574
GTM,47.807,48.104,48.403,48.701,49,49.311,49.634,49.971,50.319,50.68
GUM,93.916,94.008,94.099,94.188,94.277,94.364,94.449,94.534,94.617,94.699
GUY,27.105,26.869,26.634,26.4,26.4,26.4,26.414,26.441,26.482,26.538
HIC,79.41108473,79.69045396,79.96240546,80.16835258,80.34160518,80.50978896,80.67706624,80.84965213,81.02422285,81.20189824
HKG,100,100,100,100,100,100,100,100,100,100
HND,50.566,51.225,51.885,52.543,53.202,53.858,54.514,55.165,55.813,56.457
HPC,31.59174968,32.02917155,32.47069768,32.91532889,33.34193437,33.7688481,34.20130037,34.64146907,35.08906246,35.54434692
HRV,54.819,54.987,55.155,55.322,55.506,55.706,55.923,56.155,56.403,56.667
HTI,45.551,46.528,47.509,48.492,49.477,50.46,51.444,52.427,53.396,54.346
HUN,67.943,68.46,68.911,69.358,69.678,69.953,70.227,70.5,70.779,71.062
IBD,48.72669573,49.37885781,50.0332249,50.66525865,51.29096189,51.91686707,52.54362547,53.16820522,53.79127361,54.41228018
IBT,44.94793621,45.52073084,46.09469934,46.64511612,47.18751313,47.72951227,48.27192289,48.81731697,49.36095803,49.90289226
IDA,32.35010638,32.8268774,33.30767986,33.75856651,34.18979777,34.62297614,35.06352947,35.53298168,36.00823251,36.48899621
IDB,37.56285802,38.04397997,38.53915286,39.01641442,39.46763115,39.92053528,40.37674216,40.83583477,41.2962516,41.75780284
IDN,48.335,49.134,49.914,50.595,51.276,51.955,52.635,53.313,53.989,54.659
IDX,29.73898327,30.21058326,30.67874885,31.11060107,31.5276428,31.94664585,32.37538346,32.84698747,33.32761788,33.81693349
IMN,51.958,51.976,51.994,52.012,52.046,52.096,52.162,52.245,52.343,52.458
IND,30.246,30.587,30.93,31.276,31.634,32.003,32.384,32.777,33.182,33.6
INX,,,,,,,,,,
