,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KOS,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TOA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WAS,WSM,YEM,ZAF,ZMB,ZRN,ZWE
AUT,0,1,3,0,2,21,161,200,0,658,0,77,0,657,1,3,3,164,2,0,13,180,0,3,7,360,2,0,0,1,0,651,1255,171,572,2,12,2,202,0,1,6,20,108,606,4128,0,475,1,5,6,148,1,1158,143,12,398,0,1363,0,5,1834,174,8,0,1,2,2,432,1,0,7,2,0,1,231,0,484,18,316,193,188,5,42,260,1475,4,5,486,10,32,1,3,0,234,3,4,3,12,0,1,0,29,23,0,140,29,24,86,4,5,5,0,230,5,3,10,0,9,6,0,0,3,1,28,12,1,1,18,2,994,390,10,227,22,184,4,23,14,0,1,564,0,383,2,0,0,28,3,340,483,2,82,7,5,82,0,0,1,0,0,274,0,0,1,250,294,739,0,2,3,0,1,146,0,0,0,0,3,21,337,253,14,15,167,11,2660,4,0,0,5,17,1,0,0,1,200,1,0,1
AZE,0,0,0,0,0,0,77,76,0,77,77,0,0,3,0,0,0,0,0,0,0,81,0,0,0,79,0,0,0,0,0,81,79,76,78,0,2,0,75,0,0,0,0,0,78,96,0,78,0,0,0,8,0,79,0,0,2,0,84,0,0,87,77,0,0,0,0,0,76,0,0,0,0,0,0,0,0,76,0,26,0,19,0,0,77,83,0,0,81,3,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,79,77,0,1,0,3,0,0,1,0,0,79,0,92,0,0,0,0,0,79,116,0,0,0,0,1,0,0,0,0,0,76,0,0,0,75,76,81,0,0,1,0,0,0,2,2,0,0,0,3,160,77,0,0,8,0,97,2,0,0,0,0,0,0,0,0,76,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
BEL,4,0,5,0,0,22,130,99,0,860,657,3,11,0,30,38,25,195,1,0,14,107,0,1,15,463,9,2,1,3,7,965,1152,148,748,15,67,25,167,0,0,17,48,135,429,2809,0,598,5,48,29,156,0,1581,187,69,428,2,3220,0,19,3029,97,16,0,1,7,26,499,0,2,7,2,1,3,167,1,397,29,344,246,219,11,36,238,2004,1,13,522,16,65,3,20,1,260,1,5,3,26,0,3,0,2,32,2,156,135,26,43,4,7,14,0,229,9,14,16,2,5,4,11,2,1,6,85,3,3,7,21,4,2937,376,20,279,5,119,13,32,26,0,1,584,0,472,0,0,2,52,5,273,444,13,73,3,35,82,0,1,0,0,1,157,0,0,0,78,129,820,0,2,8,1,4,144,0,0,0,0,0,65,295,168,36,56,160,17,3462,6,2,0,23,88,2,1,0,1,326,10,65,13
BEN,0,0,0,0,0,0,3,0,0,5,1,0,1,30,0,23,0,0,0,0,0,0,0,0,1,9,0,0,0,1,1,22,11,0,4,16,15,1,2,0,0,0,0,0,1,20,0,10,0,2,0,0,0,6,1,1,1,0,106,0,2,29,0,14,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,1,6,2,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,2,0,11,0,0,0,0,1,0,1,0,0,1,2,4,13,0,24,3,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,10,4,0,0,0,0,0,3,0,2,4,2,0,0,34,0,0,0,0,0,0,0,0,0,11,0,6,2
BFA,1,0,0,0,0,0,2,0,0,7,3,0,0,38,23,0,0,2,1,0,0,1,0,0,1,5,0,1,0,0,2,18,23,0,2,12,18,2,3,0,0,0,1,0,1,29,0,9,1,2,0,5,0,6,0,1,3,0,112,0,6,38,0,17,0,4,0,6,0,0,0,0,0,0,0,1,0,0,3,8,1,0,0,0,1,10,0,0,4,0,12,0,4,0,2,0,0,2,2,0,0,0,0,2,0,0,2,0,4,0,0,3,0,2,0,17,0,1,0,0,1,0,1,2,1,0,1,7,9,0,11,6,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,2,1,2,29,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,1,7,6,0,0,0,0,0,4,4,4,9,9,2,0,48,0,0,0,0,4,1,0,0,0,15,3,5,1
BGD,1,0,1,0,0,9,11,0,0,109,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,13,0,4,1,1,0,75,19,4,56,0,0,0,4,0,0,2,1,2,2,62,0,11,1,1,1,22,0,14,1,8,6,4,16,0,0,121,0,3,0,1,0,6,4,0,0,2,0,0,1,0,0,2,17,82,4,13,2,2,2,22,0,1,226,1,15,1,1,0,82,1,5,0,3,0,1,0,0,6,0,0,3,0,1,0,0,0,0,3,0,5,0,2,0,0,3,0,0,3,165,0,0,1,2,0,31,14,13,6,2,47,0,1,10,0,1,7,0,3,0,0,0,1,0,1,4,0,22,0,0,8,0,0,0,0,0,0,0,0,0,0,5,44,0,0,0,0,0,24,0,0,0,0,1,0,13,4,3,5,1,1,316,0,0,0,0,14,0,0,0,1,17,1,2,4
BGR,0,0,3,0,0,4,12,100,0,73,164,0,0,195,0,2,0,0,2,0,6,97,0,0,1,124,1,3,0,0,0,54,183,8,144,0,2,0,109,0,0,2,0,100,206,432,0,49,0,7,1,112,0,250,121,0,140,0,260,0,0,269,100,0,0,0,1,1,166,0,0,0,0,0,0,120,0,155,1,133,53,96,4,4,30,300,1,2,74,3,1,1,0,0,115,1,0,0,8,0,0,0,0,20,0,112,5,15,3,0,6,1,0,123,33,0,4,0,8,8,0,0,1,0,3,1,0,1,9,0,94,30,0,98,3,100,0,1,2,0,0,231,0,150,3,0,0,17,2,144,209,0,35,2,0,5,0,0,0,0,0,144,0,0,0,49,41,58,0,0,1,0,0,83,0,0,0,0,0,4,153,103,2,0,121,1,305,5,0,0,4,7,0,0,0,0,25,0,0,1
BHR,0,0,0,0,0,16,1,0,0,5,2,0,0,1,0,1,0,2,0,0,0,1,0,0,0,4,0,1,0,1,0,14,1,0,2,0,1,0,2,0,0,0,0,0,1,6,0,2,0,8,0,25,0,3,0,0,1,0,10,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,13,8,2,5,0,4,5,0,10,1,0,0,0,0,0,3,0,10,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,9,0,0,0,3,1,0,0,0,0,0,3,0,1,1,1,0,6,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,2,0,0,0,0,0,11,8,4,0,0,1,0,24,0,0,0,0,0,0,0,0,3,2,0,0,0
BHS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0
BIH,0,0,3,0,0,1,0,2,0,3,13,0,0,14,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,7,8,1,3,0,0,0,1,0,0,0,0,0,8,28,0,5,0,1,0,2,0,13,6,0,3,0,17,0,0,20,1,0,0,0,0,0,5,0,0,0,0,0,0,92,0,7,0,0,5,0,0,2,3,24,0,0,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,5,1,7,1,0,3,0,0,2,19,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,16,9,0,0,0,2,0,1,2,0,0,11,0,6,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,115,0,0,0,6,34,11,0,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,5,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0
BLR,0,0,0,0,0,0,82,173,0,124,180,81,0,107,0,1,0,97,1,0,1,0,0,0,0,185,0,1,0,0,0,96,185,77,195,1,1,0,166,0,0,0,2,90,192,264,0,96,0,0,1,91,0,199,95,0,110,0,214,0,0,207,168,0,0,0,0,0,177,0,0,1,0,0,1,95,0,169,0,120,39,101,0,0,85,216,0,3,105,12,0,0,0,0,105,0,0,0,1,0,0,0,0,20,0,119,1,9,74,0,3,0,0,139,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,94,89,0,91,0,89,0,0,1,0,0,268,0,182,2,0,0,16,0,143,414,0,22,0,0,9,0,0,0,0,0,170,0,0,0,79,79,105,0,0,0,0,0,82,0,0,0,0,0,0,176,175,0,0,133,1,220,1,0,0,0,2,0,0,0,0,80,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0
BOL,0,0,0,0,0,1,29,2,0,18,7,0,0,15,1,1,0,1,0,0,0,0,0,0,0,33,1,0,0,0,0,13,12,19,7,0,2,1,17,0,0,3,5,0,4,31,0,9,1,0,19,2,0,46,1,2,3,0,27,0,0,27,0,2,0,0,0,1,2,0,0,5,1,0,0,0,0,0,2,4,2,2,0,2,2,17,2,0,10,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,2,0,3,0,0,2,0,17,0,0,0,0,0,1,1,0,2,0,2,0,0,1,1,3,14,5,1,2,0,0,7,30,2,0,0,4,0,4,4,0,0,7,1,1,2,0,2,0,1,1,0,0,1,0,0,2,0,0,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,0,10,81,0,0,0,13,4,0,0,0,0,2,0,0,1
BRA,2,8,0,0,1,16,762,213,0,834,360,79,0,463,9,5,13,124,4,2,0,185,1,0,33,0,3,3,0,3,0,1055,686,482,703,5,23,6,553,0,4,44,162,96,358,1571,0,315,8,7,94,156,0,1563,105,6,260,11,1744,0,2,1812,175,11,0,0,7,4,305,0,1,19,10,3,10,160,1,277,25,466,218,146,3,10,207,1266,6,2,452,8,35,0,6,0,300,0,10,2,30,0,5,0,0,30,0,99,9,1,92,1,0,5,0,590,5,3,2,1,0,2,19,0,3,3,64,5,7,2,37,4,701,212,3,216,14,198,37,170,27,0,1,462,0,1037,29,0,1,35,6,302,516,2,89,3,4,69,0,0,5,0,0,217,0,0,3,133,118,432,0,0,3,0,0,148,0,0,0,0,2,17,303,240,10,14,234,152,4793,3,5,0,97,84,0,1,0,0,302,1,3,15
BRB,0,0,0,0,0,0,2,1,0,9,2,0,0,9,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,17,9,1,2,0,1,0,2,0,0,2,2,0,1,9,0,1,1,0,1,1,0,3,0,0,2,0,5,0,0,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,1,7,7,0,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5,0,3,1,0,8,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,1,1,3,3,3,0,0,2,39,0,0,0,1,0,0,1,0,0,2,0,0,0
BRN,0,0,0,0,0,0,2,0,0,11,0,0,0,2,0,1,4,3,1,0,0,1,0,0,0,3,0,0,0,0,0,2,2,1,8,0,2,0,3,0,0,0,0,0,1,8,0,1,0,0,0,3,0,3,0,0,3,0,2,0,0,12,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,8,2,1,2,0,3,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,0,0,0,5,0,2,1,0,0,0,4,0,0,1,0,0,2,0,0,3,0,0,1,0,2,1,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,4,0,10,0,0,0,0,0,0,0,0,1,3,0,0,0
BTN,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,1,0,0,0,0,0,0,0
BWA,0,1,0,0,0,0,0,0,0,12,1,0,0,3,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,14,8,1,5,1,6,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,1,2,0,6,1,0,5,0,1,32,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,6,3,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,8,0,5,0,0,8,0,2,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7,7,0,0,99,0,0,0,0,3,0,0,0,1,57,7,0,10
